Feature	Cluster
mag_44586	30
mag_40899	30
mag_39130	30
mag_39951	30
mag_42367	30
mag_43111	30
mag_45680	30
mag_40289	30
mag_41037	30
mag_39298	30
mag_39492	30
mag_40541	30
mag_42958	30
mag_40121	30
mag_42192	30
mag_42232	30
mag_41175	30
mag_57077	30
mag_44769	30
mag_43869	30
mag_42186	30
mag_43541	30
mag_41405	30
mag_45194	30
mag_48491	30
mag_41423	30
mag_56135	30
mag_43935	30
mag_43473	30
mag_39071	30
mag_40689	30
mag_41050	30
mag_45553	30
mag_43369	30
mag_43420	30
mag_38755	30
mag_41501	30
mag_41359	30
mag_44089	30
mag_45330	30
mag_41844	30
mag_38752	30
mag_40013	31
mag_42153	31
mag_38888	31
mag_41159	31
mag_38877	31
mag_50766	31
mag_44858	31
mag_41596	31
mag_45396	31
mag_52988	31
mag_40272	31
mag_43556	31
mag_43561	31
mag_40876	31
mag_52975	31
mag_44925	31
mag_41584	31
mag_40489	31
mag_41655	31
mag_41226	31
mag_45152	31
mag_44740	31
mag_40034	31
mag_39132	31
mag_42946	31
mag_38993	31
mag_45156	31
mag_39017	31
mag_42645	31
mag_40215	31
mag_39277	31
mag_44826	31
mag_40746	31
mag_41879	31
mag_44360	31
mag_44690	31
mag_39741	31
mag_40634	31
mag_58978	31
mag_40949	31
mag_40450	31
mag_45094	31
mag_53205	31
mag_41168	31
mag_42303	31
mag_44138	31
mag_45332	31
mag_40788	31
mag_40117	31
mag_39860	31
mag_43432	31
mag_40940	31
mag_44015	31
mag_40531	31
mag_42776	31
mag_56628	31
mag_38479	31
mag_40423	31
mag_40585	31
mag_40417	31
mag_41193	31
mag_40830	31
mag_41612	31
mag_40767	31
mag_40138	31
mag_46722	31
mag_27852	31
mag_42690	31
mag_45774	31
mag_39752	31
mag_46571	31
mag_41671	31
mag_39744	31
mag_61174	31
mag_46492	31
mag_43367	31
mag_42275	31
mag_39729	31
mag_43980	32
mag_39077	32
mag_38428	32
mag_40105	32
mag_38514	32
mag_42102	32
mag_38996	32
mag_38339	32
mag_38379	32
mag_40080	32
mag_40429	32
mag_38271	32
mag_45603	32
mag_38487	32
mag_38881	32
PE multigene family in Mycobacterium tuberculosis complex (MTBC)	32
mag_40904	32
PPE multigene family in Mycobacterium tuberculosis complex (MTBC)	32
mag_39028	32
mag_42315	32
mag_38156	32
mag_38042	32
mag_38562	32
mag_39961	32
mag_38930	32
mag_38143	32
mag_39954	32
mag_41233	32
mag_37792	32
mag_38633	32
mag_39524	32
mag_40901	32
mag_42231	33
mag_43770	33
mag_42172	33
mag_41333	33
mag_40385	33
V-Type ATP synthase	33
mag_46313	33
mag_37807	34
mag_38859	34
mag_37795	34
Sporulation proteins SigEG cluster	34
mag_51007	34
S-methylmethionine	34
mag_3088	34
mag_39678	34
mag_42321	34
mag_39334	34
mag_38245	34
mag_40124	34
mag_42334	34
mag_42415	34
Patulibacteraceae	34
Moschidae	34
mag_39338	34
mag_38532	34
mag_40457	34
mag_44638	34
Exidiaceae	34
mag_3029	34
mag_45806	35
mag_42168	35
mag_42151	35
mag_42201	35
mag_40589	35
mag_39544	35
mag_39174	35
mag_39422	35
mag_45071	35
mag_42926	35
mag_41591	35
mag_42931	35
mag_43647	35
mag_43336	35
mag_46204	35
mag_37721	35
mag_61863	35
mag_43524	35
mag_44104	35
mag_38933	35
mag_38927	35
mag_43724	35
mag_44179	35
mag_40909	35
mag_40694	35
mag_43789	35
mag_47766	35
mag_41210	35
mag_37812	36
Glutathione: Biosynthesis and gamma-glutamyl cycle	36
mag_39853	36
mag_43124	36
mag_42207	36
mag_45044	36
mag_46940	36
mag_42492	36
mag_43422	36
mag_46532	36
mag_59318	36
mag_45843	36
mag_39879	36
mag_38171	36
mag_40214	36
mag_66866	36
mag_42188	36
mag_43721	36
mag_37852	36
mag_41903	36
mag_44958	36
mag_61979	36
mag_39135	36
Programmed cell death toxin-antitoxin PezAT	36
mag_52662	36
mag_38620	37
mag_38615	37
mag_38140	37
mag_39286	37
mag_41983	37
mag_45697	37
mag_47668	37
mag_43969	37
mag_38721	37
mag_37934	37
mag_38677	37
mag_38654	37
mag_42974	37
mag_39457	37
mag_38801	37
mag_40184	37
mag_39326	37
mag_38006	37
mag_43297	37
mag_38796	37
mag_42252	37
mag_40642	37
mag_46416	37
mag_44295	37
mag_38988	37
mag_40190	37
mag_43332	37
mag_38462	37
mag_39337	37
mag_40235	37
mag_72938	37
mag_40769	37
mag_45742	37
mag_39057	37
mag_40968	37
mag_41139	38
mag_45493	38
mag_40273	38
mag_43295	38
mag_42758	38
mag_41817	38
mag_38581	38
mag_41582	38
mag_45551	38
mag_41414	38
mag_43617	38
mag_41253	38
mag_41413	38
mag_40869	38
mag_37967	38
mag_40309	38
mag_38525	38
mag_41111	38
mag_55404	38
mag_55618	38
mag_38194	38
mag_39971	38
mag_40661	38
mag_43965	38
mag_43118	38
mag_41543	38
mag_50734	38
mag_46611	38
mag_44199	38
mag_41211	38
mag_38845	38
mag_44283	38
mag_42036	38
mag_44293	38
mag_39725	38
Neocallimastigaceae	38
mag_46390	38
mag_44299	38
mag_45002	38
mag_37929	38
mag_42592	38
mag_44639	38
mag_40471	38
mag_38990	38
mag_42096	38
mag_42087	38
mag_42938	38
mag_46022	38
mag_41227	38
mag_41231	38
mag_39778	38
mag_41311	38
mag_49626	38
mag_41946	38
mag_45114	38
mag_49054	38
mag_38667	38
mag_42115	38
Fermentations: Lactate	38
mag_42194	38
mag_40815	38
mag_38702	38
mag_38711	38
mag_42287	38
mag_39430	38
mag_44139	38
mag_46743	38
mag_42311	38
mag_48140	38
Sporolactobacillaceae	39
Trichuridae	39
Noctuidae	39
Enterococcaceae	39
mag_39240	40
mag_38464	40
mag_41145	40
mag_39226	40
mag_37876	40
mag_42330	40
mag_38560	40
Turicibacteraceae	40
mag_45387	40
mag_38319	40
mag_45273	40
mag_39059	40
mag_41374	40
mag_42063	40
mag_40139	40
mag_42752	40
mag_41707	40
mag_41245	40
mag_39928	40
mag_45657	40
Spalacidae	41
mag_38524	41
mag_296	41
mag_38497	41
mag_43809	41
mag_3902	41
Betaine lipids in bactera	41
mag_326	41
mag_39395	41
mag_40487	41
Rubiaceae	41
mag_37620	41
Biddulphiaceae	41
mag_46157	41
mag_343	41
mag_44565	41
mag_44463	41
Cryptobasidiaceae	41
mag_40114	41
Phenol hydroxylase	41
Ophirinidae	41
Goodeniaceae	41
mag_39136	41
mag_38239	41
mag_52261	41
mag_37783	41
mag_39537	41
mag_39541	41
Syngnathidae	41
Protopteridae	41
Coelacanthidae	41
mag_50	41
Salisaetaceae	41
mag_37985	41
Oceanipulchritudinaceae	41
mag_3421	41
mag_2958	41
Chlorosome	41
Heteromyidae	41
mag_41633	41
mag_39092	41
Halorubellaceae	41
mag_38543	41
mag_39076	41
mag_40469	41
Ozemobacteraceae	41
Pyralidae	41
mag_38753	41
mag_37723	41
mag_44285	41
Panagrolaimidae	41
mag_7427	41
Flaviviridae	41
4-hydroxybenzoyl-CoA reductase	41
Rhopaluridae	41
mag_370	41
Fredfastierviridae	41
Aiptasiidae	41
Assiduviridae	41
mag_1191	41
mag_45241	41
mag_37757	41
mag_5951	41
Pipridae	41
mag_38122	41
mag_37910	41
mag_39353	41
mag_363	41
mag_38736	41
mag_39330	41
Phaeocystidibacteraceae	41
Methanofuran biosynthesis	41
mag_41984	41
mag_39555	42
mag_40091	42
mag_40318	42
mag_38147	42
mag_41114	42
mag_42198	42
mag_39814	42
mag_38189	42
mag_38255	42
mag_42616	42
mag_41165	42
mag_40978	42
2-phosphoglycolate salvage	42
mag_42293	42
mag_43709	42
mag_40158	42
mag_40039	42
mag_38025	42
mag_39267	42
mag_45771	42
mag_41138	42
mag_40984	42
mag_431	42
mag_41852	42
HipAB system implicated in growth arrest, persistence and drug tolerance	42
mag_44472	42
mag_42284	43
mag_39084	43
mag_38557	43
mag_38855	43
mag_45802	43
mag_39554	43
mag_46618	43
mag_37913	43
mag_37726	43
mag_44422	43
mag_40591	43
mag_39284	43
mag_38290	43
mag_37850	43
mag_39724	43
mag_41246	43
mag_37890	43
mag_37896	43
mag_41075	43
Mycoplasmoidaceae	43
mag_37949	43
mag_43843	43
mag_43839	43
mag_42245	43
mag_41935	43
mag_45075	43
mag_40741	43
mag_43292	43
mag_39018	43
mag_470	43
mag_44811	43
mag_42799	44
Sporanaerobacteraceae	44
mag_43738	44
mag_44503	44
mag_44574	44
mag_40751	44
mag_43760	44
mag_42282	44
mag_40801	44
mag_43047	44
mag_38626	44
mag_42933	44
mag_43837	44
mag_39006	44
mag_49875	44
mag_44040	44
Iron acquisition in Streptococcus	44
mag_43717	44
mag_51790	44
mag_45967	44
mag_50264	44
mag_40274	44
mag_39568	44
mag_58391	44
mag_45577	44
mag_40636	44
mag_42875	44
mag_61847	44
mag_40044	44
mag_45173	44
Smithellaceae	44
mag_43536	44
mag_3031	44
mag_41355	44
mag_37914	44
mag_38466	44
Toxin-Antitoxin system HigAB	45
One-carbon metabolism by tetrahydropterines	45
Hfl operon	45
Glycerolipid and Glycerophospholipid Metabolism in Bacteria	46
Type IV pilus	46
Cyanate hydrolysis	47
mag_46181	48
mag_41260	48
mag_40101	48
mag_46023	48
mag_41334	48
Mycoplasmataceae	48
Glycogen metabolism	49
Ribosomal protein S5p acylation	49
Eresidae	50
mag_37663	50
mag_72	50
Thiohalomonadaceae	50
Thiohalorhabdaceae	50
Coniochaetaceae	50
mag_37636	50
Pentalenolactone Biosynthesis and Resistance	50
mag_3264	50
Massarinaceae	50
mag_35	51
mag_3171	51
mag_5	51
Aquificaceae	51
mag_280	51
mag_39010	51
mag_325	51
Zosteraceae	51
Ajellomycetaceae	51
mag_39391	51
Tupaiidae	51
Leptosomidae	51
mag_13	51
Mesitornithidae	51
mag_3150	51
Plantaginaceae	51
Pedaliaceae	51
Myricaceae	51
Kalotermitidae	51
mag_10458	51
Rallidae	51
Cobitidae	51
Zosteropidae	51
Sulphoglycolysis	51
mag_42728	51
Nitratiruptoraceae	51
mag_623	51
Epitheliaceae	51
Neodiplogasteridae	51
Thraupidae	51
Psittacidae	51
Mesostigmataceae	51
Musaceae	51
Scotocercidae	51
Lasso peptide maturation cluster	51
Multiple Antibiotic Resistance MAR locus	51
Sporulation proteins SpoVA cluster	51
Struthionidae	51
Trogonidae	51
mag_41194	51
mag_40807	51
Maluridae	51
Zobellviridae	51
mag_37704	51
mag_37703	51
mag_10446	51
Fringillidae	51
Bromeliaceae	51
Corvidae	51
mag_44420	51
Stemonaceae	51
Strigidae	51
Hydrangeaceae	51
mag_40646	51
mag_2907	51
Methylothermaceae	51
Podargidae	51
Thermotomaculaceae	51
Tenrecidae	51
Arecaceae	51
Quorum-sensing related cluster	51
Fervidicoccaceae	51
Viperidae	51
DNA phosphorothioation-dependent restriction system DptFGH	51
Alligatoridae	51
Orchidaceae	51
mag_40652	51
Crocodylidae	51
mag_37924	51
Asteriidae	51
Drepanopezizaceae	51
mag_19492	51
mag_2904	51
mag_37637	51
mag_17161	51
mag_294	51
Scolopacidae	51
Hyaenidae	51
Amborellaceae	51
Glyceridae	51
Geothermincolaceae	51
Ulmaceae	52
mag_2906	52
Brocadiaceae	52
mag_37820	52
Teiidae	52
Poaceae	52
mag_37862	52
Laetiporaceae	52
mag_39272	52
Phasianidae	52
Dendrobatidae	52
mag_3028	52
Linotaeniidae	52
Thermoplasmataceae	52
mag_38292	52
mag_3158	52
mag_41202	52
Nymphaeaceae	52
Anatidae	52
Passerellidae	52
Bataceae	52
Persicobacteraceae	52
Eimeriidae	52
Nyssaceae	52
Carboxysome	52
Thermochlorobacteriaceae	52
Celerinatantimonadaceae	52
Nelumbonaceae	52
Dacrymycetaceae	52
mag_37921	52
Talpidae	52
Tritrichomonadidae	52
Orthoherpesviridae	52
Apterygidae	52
Respiratory complex I in plants (plastidial) and cyanobacteria	52
Ceraceosoraceae	52
Orobanchaceae	52
Ascarididae	52
Mycosporine synthesis cluster	52
mag_28	52
mag_37955	52
NADP-reducing [FeFe]-hydrogenase	52
Acetoin, butanediol metabolism	53
Pyruvate metabolism II: acetyl-CoA, acetogenesis from pyruvate	53
Anisakidae	53
Dehydrogenase complexes	54
Alsobacteraceae	55
Rhamnaceae	55
Powellomycetaceae	55
Photosystem II	55
Arionidae	55
Paracaedibacteraceae	55
Marasmiaceae	55
Chthoniobacteraceae	55
Musophagidae	55
Pucciniaceae	55
mag_47111	55
Bangiaceae	55
Trichinellidae	55
Parmeliaceae	55
Atribacteraceae	55
Tripartite multidrug efflux systems (of RND type) CmeABC and CmeDEF	55
Tortricidae	55
Reticulibacteraceae	55
Holophagaceae	55
Desulfurobacteriaceae	55
Dioscoreaceae	55
mag_816	55
Penaeidae	55
Capsulimonadaceae	55
Acidobacteriaceae	56
Mycosphaerellaceae	56
Pyridoxin(Vitamin B6) Degradation Pathway	56
Gloeomargaritaceae	56
Salinibacteraceae	56
mag_38004	56
Pteridaceae	56
Emcibacteraceae	56
L-Amino acid oxidases: lysine-epsilon oxidase LodA	56
Desulfonatronaceae	56
D-altritol utilization	56
Sox thiosulfate oxidation system	56
Cannabaceae	56
Isosphaeraceae	56
Oligoflexaceae	56
Thiocyanate hydrolase	56
Trueperaceae	56
Syntrophobacteraceae	56
Manganitrophaceae	56
Anacardiaceae	56
Kofleriaceae	56
Acetomicrobiaceae	56
Geminicoccaceae	56
Aurantimonadaceae	56
Roseobacteraceae	56
Afifellaceae	56
Propylenellaceae	56
Pseudoxanthobacteraceae	56
Numididae	56
RuBisCO operon	56
Rhodovibrionaceae	56
Oleaceae	56
Roseiarcaceae	56
Stappiaceae	56
Tepidamorphaceae	56
Sneathiellaceae	56
Hyphomonadaceae	56
Rhodothalassiaceae	56
Kordiimonadaceae	56
Magnetococcaceae	56
Parvularculaceae	56
Zavarziniaceae	56
Acetobacteraceae	56
Thalassobaculaceae	56
Ethylmalonyl-CoA pathway of C2 assimilation	56
Kiloniellaceae	56
Stellaceae	56
Rhodospirillaceae	56
Magnetovibrionaceae	56
Phage shock protein operon	56
Phyllobacteriaceae	56
Salinisphaeraceae	56
Timaliidae	56
Amorphaceae	56
Ancalomicrobiaceae	56
Plasmid replication	56
mag_69	56
Gallaecimonadaceae	56
Blastochloridaceae	56
Granulosicoccaceae	56
Boseaceae	56
Breoghaniaceae	56
Phreatobacteraceae	56
Tephritidae	56
Cohaesibacteraceae	56
Oceanibaculaceae	56
Lichenibacteriaceae	56
Methylobacteriaceae	56
Notoacmeibacteraceae	56
Kaistiaceae	56
Ectoine, hydroxyectoine uptake and catabolism	56
mag_6372	57
mag_37798	57
Segniliparaceae	57
mag_315	57
Marchantiaceae	57
mag_38342	57
Salmonidae	58
mag_38250	58
Lentibulariaceae	58
Theaceae	58
mag_38329	58
Araceae	58
Cucurbitaceae	58
Dietziaceae	58
mag_37624	58
Miridae	58
mag_37787	58
Polystomatidae	58
Pyruvate Alanine Serine Interconversions	58
mag_37853	58
Anarhichadidae	58
Adaptation to d-cysteine	58
Fonticulaceae	58
Dermacoccaceae	58
Sox sulfur oxidation genes	58
Chelydridae	58
Coenzyme B synthesis	58
mag_38137	59
Thermosynechococcaceae	59
mag_3230	59
Comchoanobacteraceae	59
mag_38789	59
Turdidae	59
Monodontidae	59
Deferrivibrionaceae	59
Coenzyme F420-H2 dehydrogenase (methanophenazine)	59
mag_37822	59
Callipallenidae	59
Rhodellaceae	59
mag_37746	59
Megachilidae	59
mag_41187	59
mag_4665	59
mag_37941	59
mag_2936	59
mag_39839	59
Phaeotrichaceae	59
Polyomaviridae	59
Pseudococcidae	59
mag_33193	59
mag_37623	59
mag_14144	59
Trochilidae	59
Halimedaceae	59
mag_62	59
Pteroclidae	59
Rivulidae	59
Polarisedimenticolaceae	59
mag_39565	59
mag_40554	59
mag_38068	59
mag_56	59
Cuniculitremaceae	59
Haloferuviridae	59
Characidae	59
Mangrovivirgaceae	59
Labridae	59
Cyprinodontidae	59
mag_124	59
Sphaerobacteraceae	60
Acetolactate synthase subunits	60
mag_42350	60
mag_37665	61
Crypthecodiniaceae	61
Pyronemataceae	61
mag_2926	61
Chlorogloeopsidaceae	61
mag_83	61
Lyophyllaceae	61
Euplectellidae	61
Suolaviridae	61
Nyctotheridae	61
Tenuifilaceae	61
mag_37963	61
Syncephalastraceae	61
Vancomycin resistance, D-Ala-D-Ser, D-Ala-Lac ligases	61
DNA Helicase of Unknown Function	61
Paridae	61
Rhinatrematidae	61
mag_38062	61
Sodium-transporting ATPase	61
mag_38727	61
Scatophagidae	61
Apocynaceae	61
mag_37745	61
Sturnidae	61
Naviculaceae	61
mag_37854	61
Diprionidae	61
Limulidae	61
Dehalococcoidaceae	61
Narnaviridae	61
Capillimicrobiaceae	61
Motilibacteraceae	61
Ostreobiaceae	61
Tyrannidae	61
Cambaridae	61
mag_437	61
DNA recombination, archaeal	61
mag_39302	61
Diphyllobothriidae	62
Haloplasmataceae	62
Convolvulaceae	62
Elusimicrobiaceae	62
Ilumatobacteraceae	62
Zooshikellaceae	62
Philodinidae	62
Anaerohalosphaeraceae	62
Bacillus cannibalism system	62
Muridae	62
DevBCA efflux pump transporter (of ABC type) cyanobacterial	62
Magnetomoraceae	62
Thermodesulfatatoraceae	62
mag_44950	62
Halothermotrichaceae	62
Halobacteroidaceae	62
mag_40097	62
Ericaceae	62
Desulfolunaceae	62
Ferrimonadaceae	62
Aequoreidae	62
Thermodesulfovibrionaceae	62
Celastraceae	62
Hymenochaetaceae	62
Nautiliaceae	62
Tetracycline resistance, all mechanisms	62
Saprolegniaceae	63
Thermincolaceae	63
mag_40925	63
mag_41947	63
Albulidae	63
mag_41952	63
mag_42385	63
mag_39355	63
mag_38502	63
mag_40069	63
mag_39629	63
Cyanophoraceae	63
mag_40052	63
mag_43435	63
Xylanivirgaceae	63
mag_39434	63
mag_85	63
mag_40942	63
mag_42260	63
mag_37887	63
mag_38948	63
mag_57687	63
mag_39402	63
mag_38463	63
mag_38113	63
mag_40118	63
mag_38460	63
mag_41556	63
mag_38909	63
mag_39908	63
mag_38770	63
mag_43480	63
Haliotidae	63
mag_42228	63
mag_307	63
mag_41218	63
mag_38208	63
mag_38020	63
mag_45983	63
mag_38601	63
mag_45483	63
Corynebacteriaceae	63
mag_38195	63
mag_38243	63
Cyprididae	63
mag_38193	63
Moduliflexaceae	63
mag_41665	63
mag_44813	63
mag_46035	63
Coleofasciculaceae	63
mag_44787	63
Abyssicoccaceae	63
mag_42749	63
mag_40605	63
mag_38080	63
mag_41249	63
mag_38547	63
mag_42662	63
mag_43176	63
Corethraceae	63
mag_38073	63
mag_40593	63
mag_39579	63
mag_39721	63
mag_40712	63
mag_38416	63
mag_37932	63
Caldisericaceae	63
mag_40460	63
mag_3032	63
mag_38051	63
mag_37993	63
mag_38874	63
mag_40412	63
mag_39848	63
mag_38737	63
mag_38369	63
mag_426	63
mag_38857	63
mag_37708	63
mag_45288	63
Cyanothecaceae	64
Desulfovibrio high-molecular-weight cytochrome cluster	64
Aliterellaceae	64
Baekduiaceae	64
mag_34	64
mag_42658	64
Ginkgoaceae	64
Comatulidae	64
Taphrinaceae	64
Balsaminaceae	64
mag_38414	64
Phaeolaceae	64
Hydrogenedentaceae	64
Adinetidae	64
Psathyrellaceae	64
Culicosporidae	64
Rhabdochlamydiaceae	64
Fagaceae	64
Juglandaceae	64
Cucurbitariaceae	64
Sporulation Cluster III A	64
mag_37630	64
Fomitopsidaceae	64
Chromeraceae	64
Amniculicolaceae	64
Pleurotaceae	64
Chlorophyll Degradation	64
Haladaptataceae	64
Actinopolysporaceae	64
Araliaceae	64
Prenylated indole derivatives in actinomycetes	64
Serpulaceae	64
Selenastraceae	64
Rhinolophidae	64
Meruliaceae	64
Demerecviridae	64
Promineifilaceae	64
mag_47	64
Luteibaculaceae	64
mag_14852	64
mag_37720	64
Lujinxingiaceae	64
mag_545	64
Bovidae	64
Lymnaeidae	64
Punctulariaceae	64
Geminocystaceae	64
Meloidogynidae	64
Lawsonellaceae	64
Cactaceae	64
Trochodendraceae	64
Allomimiviridae	64
Desulfohalobiaceae	64
Hydrogen-sensing hydrogenase system	64
Polygonaceae	64
ABC transporter tungstate (TC 3.A.1.6.2)	64
mag_2930	64
Encyrtidae	64
Atheliaceae	64
mag_37835	64
Cervidae	64
Chroococcaceae	64
Cleomaceae	64
Chitobiose	64
Boletaceae	64
Asparagaceae	64
Hymenogastraceae	64
Cephalotaceae	64
mag_285	64
Postiaceae	64
Galeropsidaceae	64
Clariidae	64
Dimargaritaceae	64
Osteoglossidae	64
Moraceae	64
Prochlorotrichaceae	64
Gregarinidae	64
