Feature	Cluster
Membrane Transport; Membrane Transport; Protein secretion system, Type III; Type III secretion system; Type III secretion bridge between inner and outermembrane lipoprotein (YscJ,HrcJ,EscJ, PscJ)	2
Metabolism; Fatty Acids, Lipids, and Isoprenoids; Fatty acids; Fatty acid catabolic operon fadN-fadA-fadE (yusJKL); 3-ketoacyl-CoA thiolase 2 [fadN-fadA-fadE operon] (EC 2.3.1.16)	2
Stress Response, Defense, Virulence; Stress Response, Defense and Virulence; Stress Response: Osmotic stress; Choline uptake and conversion to betaine clusters; Osmoprotectant ABC transporter, ATP-binding protein OsmV	2
Membrane Transport; Membrane Transport; Multidrug efflux systems; Multidrug resistance RND efflux system MexEFOprN; Multidrug efflux system, outer membrane factor lipoprotein => OprN of MexEF-OprN system	2
Energy; Energy and Precursor Metabolites Generation; Central Metabolism; Pyruvate metabolism I: anaplerotic reactions, PEP; Pyruvate carboxylase subunit A (EC 6.4.1.1)	2
Membrane Transport; Membrane Transport; ABC transporters; Nucleoside ABC transporter cluster; Nucleoside-binding outer membrane protein	2
Protein Processing; Protein Fate (folding, modification, targeting, degradation); Protein folding; Peptidyl-prolyl cis-trans isomerase; Peptidyl-prolyl cis-trans isomerase PpiC (EC 5.2.1.8)	2
Pseudomonas sp. JV241A	2
Pseudomonas sp. KU43P	2
Cell Envelope; Cell Envelope, Capsule and Slime layer; Gram-Negative (Diderm) cell wall components; Outer membrane porins in Pseudomonas and Acinetobacter; Outer membrane low permeability porin, OprD family => OccD3/OpdP Gly-Glu dipeptide	2
Pseudomonas sp. 2VD	2
Stress Response, Defense, Virulence; Stress Response, Defense and Virulence; Stress Response; Repair of Iron Centers; Nitric-oxide reductase subunit B (EC 1.7.99.7)	2
Pseudomonas sp. 10-1B	2
Miscellaneous; Miscellaneous; Betaine, crotonobetaine, L-carnitine (trimethyl ammonium compounds); Carnitine metabolism and transport; L-carnitine ABC transporter, substrate-binding protein CaiX	2
Cell Envelope; Cell Envelope, Capsule and Slime layer; Gram-Negative (Diderm) cell wall components; Outer membrane porins in Pseudomonas and Acinetobacter; Outer membrane low permeability porin, OprD family => OccK10/OpdN	2
Cell Envelope; Cell Envelope, Capsule and Slime layer; Gram-Negative (Diderm) cell wall components; Outer membrane porins in Pseudomonas and Acinetobacter; Outer membrane low permeability porin, OprD family => OccK2/OpdF	2
Pseudomonas savastanoi	2
Pseudomonas knackmussii	2
Pseudomonas resinovorans	2
Cell Envelope; Cell Envelope, Capsule and Slime layer; Gram-Negative (Diderm) cell wall components; Outer membrane porins in Pseudomonas and Acinetobacter; Outer membrane low permeability porin, OprD family => OccK7/OpdD, meropenem uptake	2
Pseudomonas sp. OF001	2
Pseudomonas sp. 8O	2
Stress Response, Defense, Virulence; Stress Response, Defense and Virulence; Stress Response: Osmotic stress; Choline uptake and conversion to betaine clusters; Osmoprotectant ABC transporter, substrate-binding protein OsmX	2
Stress Response, Defense, Virulence; Stress Response, Defense and Virulence; Stress Response; Universal stress protein family; Universal stress protein family COG0589	2
Metabolism; Carbohydrates; Carboxylic acids; Malonate decarboxylase; Malonate utilization transcriptional regulator	2
Miscellaneous; Miscellaneous; Betaine, crotonobetaine, L-carnitine (trimethyl ammonium compounds); Carnitine metabolism and transport; Transcriptional activator PhbR	2
Membrane Transport; Membrane Transport; Multidrug efflux systems; Multidrug resistance RND efflux system MexEFOprN; Multidrug efflux system, inner membrane proton/drug antiporter (RND type) => MexF of MexEF-OprN system	2
Stress Response, Defense, Virulence; Stress Response, Defense and Virulence; Stress Response; Glutathione: Non-redox reactions; Glutathione S-transferase, unnamed subgroup 2 (EC 2.5.1.18)	2
Metabolism; Cofactors, Vitamins, Prosthetic Groups; Biotin; Biotin synthesis & utilization; Pyruvate carboxylase subunit A (EC 6.4.1.1)	2
Membrane Transport; Membrane Transport; Protein secretion system, Type I; Type I secretion systems disambiguation; T1SS secreted agglutinin RTX	2
Vibrio vulnificus	2
Cell Envelope; Cell Envelope, Capsule and Slime layer; Gram-Negative (Diderm) cell wall components; Outer membrane porins in Pseudomonas and Acinetobacter; Outer membrane low permeability porin, OprD family => OccK4/OpdL	2
Pseudomonas dryadis	2
Membrane Transport; Membrane Transport; Multidrug efflux systems; Tripartite multidrug efflux systems (of RND type) in Pseudomonas; Multidrug efflux system, inner membrane proton/drug antiporter (RND type) => MexW of MexVW-OprM system	2
Mycobacterium arosiense	2
Pseudomonas aeruginosa	2
Atopomonas hussainii	2
Metabolism; Amino Acids and Derivatives; Arginine; urea cycle, creatine, polyamines; Arginine succinyltransferase pathway; Putative GTPases (G3E family)	2
Metabolism; Iron acquisition and metabolism; Siderophores; Siderophore Pyoverdine; Pyoverdine synthetase PvdF, N5-hydroxyornithine formyltransferase	2
Membrane Transport; Membrane Transport; Protein secretion system, Type VI; Type VI secretion system; T6SS protein serine/threonine phosphatase PppA	2
Membrane Transport; Membrane Transport; Protein secretion system, Type VI; Type VI secretion system; T6SS sigma-54-dependent regulator VasH	2
Pseudomonas syringae group genomosp. 3	2
Pseudomonas syringae group genomosp. 7	2
Pseudomonas syringae pv. coryli	2
Metabolism; Secondary Metabolism; Biosynthesis of antimicrobial or antitumor compounds; Phenazine biosynthesis; Phenazine biosynthesis protein PhzB	2
Metabolism; Secondary Metabolism; Biosynthesis of antimicrobial or antitumor compounds; Phenazine biosynthesis; 2-Amino-2-deoxy-isochorismate synthase (EC 2.6.1.86) PhzE	2
Cell Envelope; Cell Envelope, Capsule and Slime layer; Capsule and Slime layer; Extracellular matrix proteins (PEL) involved in glucose-rich biofilm formation in Pseudomonas; Pellicle/biofilm biosynthesis protein PelA, glycosyl hydrolase/deacetylase	2
Cell Envelope; Cell Envelope, Capsule and Slime layer; Capsule and Slime layer; Extracellular matrix proteins (PEL) involved in glucose-rich biofilm formation in Pseudomonas; Pellicle/biofilm biosynthesis protein PelB	2
Cell Envelope; Cell Envelope, Capsule and Slime layer; Capsule and Slime layer; Extracellular matrix proteins (PEL) involved in glucose-rich biofilm formation in Pseudomonas; Pellicle/biofilm biosynthesis protein PelF, CAZy glycosyltransferase family 4	2
Marinobacter sp. BW6	2
Metabolism; Nitrogen Metabolism; ; Denitrifying reductase gene clusters; Nitric-oxide reductase subunit B (EC 1.7.99.7)	2
Cell Envelope; Cell Envelope, Capsule and Slime layer; Capsule and Slime layer; Extracellular matrix proteins (PSL) involved in mannose-rich biofilm formation in Pseudomonas; Pellicle/biofilm biosynthesis periplasmic/outer membrane lipoprotein PslD, Wza-like	2
Cell Envelope; Cell Envelope, Capsule and Slime layer; Capsule and Slime layer; Extracellular matrix proteins (PSL) involved in mannose-rich biofilm formation in Pseudomonas; Pellicle/biofilm biosynthesis polysaccharide copolymerase/tyrosine-kinase PslE, Wzc-like	2
Metabolism; Metabolite damage and its repair or mitigation; ; Glutathione-dependent pathway of formaldehyde detoxification; Transcriptional regulator, LysR family, in formaldehyde detoxification operon	2
Metabolism; Amino Acids and Derivatives; Alanine, serine, and glycine; Sarcosine oxidases, monomeric and heterotetrameric; Sarcosine oxidase gamma subunit (EC 1.5.3.1)	2
Cell Envelope; Cell Envelope, Capsule and Slime layer; Capsule and Slime layer; Extracellular matrix proteins (PEL) involved in glucose-rich biofilm formation in Pseudomonas; Pellicle/biofilm biosynthesis inner membrane protein PelE	2
Metabolism; Amino Acids and Derivatives; Arginine; urea cycle, creatine, polyamines; Polyamine Metabolism; DNA-binding response regulator, LuxR family, near polyamine transporter	2
Nitrosomonas sp. Nm33	2
Cell Envelope; Cell Envelope, Capsule and Slime layer; Capsule and Slime layer; Alginate biosynthesis; Alginate O-acetyltransferase AlgX, periplasmic	2
Christiangramia aestuarii	2
Metabolism; Sulfur Metabolism; ; Sulfate assimilation related cluster; Putative alkanesulfonate metabolism utilization regulator	2
Cell Envelope; Cell Envelope, Capsule and Slime layer; Capsule and Slime layer; Alginate biosynthesis; Alginate polymerisation protein Alg44, membrane fusion protein	2
Cell Envelope; Cell Envelope, Capsule and Slime layer; Capsule and Slime layer; Alginate biosynthesis; Alginate regulatory protein AlgP, positive transcriptional regulator of AlgD	2
Metabolism; Secondary Metabolism; Metabolism of Aromatic Compounds; Homoprotocatechuate degradative cluster; 4-hydroxyphenylacetate symporter, major facilitator superfamily (MFS)	2
Metabolism; Fatty Acids, Lipids, and Isoprenoids; Isoprenoids; Acyclic terpene utilization; Terpene utilization protein AtuA	2
Membrane Transport; Membrane Transport; Protein secretion system, Type III; Type III secretion systems; Type III secretion host injection and negative regulator protein (YopD)	2
Metabolism; Fatty Acids, Lipids, and Isoprenoids; Isoprenoids; Acyclic terpene utilization; Geranyl-CoA carboxylase carboxyl transferase subunit (EC 6.4.1.5)	2
Cell Envelope; Cell Envelope, Capsule and Slime layer; Capsule and Slime layer; Alginate biosynthesis; Alginate lyase AlgL (EC 4.2.2.3)	2
Regulation And Cell Signaling; Regulation and Cell signaling; ; Trans-envelope signaling system VreARI in Pseudomonas; Putative PpiC-type peptidyl-prolyl cis-trans isomerase precursor associated with VreARI signaling system	2
Cell Envelope; Cell Envelope, Capsule and Slime layer; Capsule and Slime layer; Alginate biosynthesis; Poly (beta-D-mannuronate) C5 epimerase AlgG (EC 5.1.3.-)	2
Stress Response, Defense, Virulence; Stress Response, Defense and Virulence; Resistance to antibiotics and toxic compounds; Bile hydrolysis; Septum-associated cell division protein DamX	2
Membrane Transport; Membrane Transport; Protein secretion system, Type III; Type III secretion systems; Type III secretion bridge between inner and outermembrane lipoprotein (YscJ,HrcJ,EscJ, PscJ)	2
Membrane Transport; Membrane Transport; Multidrug efflux systems; Tripartite multidrug efflux systems (of RND type) in Pseudomonas; Multidrug efflux system, membrane fusion component => MexE of MexEF-OprN system	3
Cell Envelope; Cell Envelope, Capsule and Slime layer; Capsule and Slime layer; Extracellular matrix proteins (PEL) involved in glucose-rich biofilm formation in Pseudomonas; Pellicle/biofilm biosynthesis inner membrane protein PelG, MATE family transporter	3
Cell Envelope; Cell Envelope, Capsule and Slime layer; Capsule and Slime layer; Extracellular matrix proteins (PSL) involved in mannose-rich biofilm formation in Pseudomonas; Pellicle/biofilm biosynthesis protein PslA, polyprenyl glycosylphosphotransferase	3
Stress Response, Defense, Virulence; Stress Response, Defense and Virulence; Resistance to antibiotics and toxic compounds; Beta-lactamases Ambler class D; Class D beta-lactamase (EC 3.5.2.6)	3
Cell Envelope; Cell Envelope, Capsule and Slime layer; Capsule and Slime layer; Extracellular matrix proteins (PSL) involved in mannose-rich biofilm formation in Pseudomonas; Pellicle/biofilm biosynthesis protein PslF, CAZy glycosyltransferase family 4	3
Mycobacterium helveticum	3
Cell Envelope; Cell Envelope, Capsule and Slime layer; Capsule and Slime layer; Alginate biosynthesis; Alginate O-acetyltransferase AlgJ, inner membrane	3
Cell Envelope; Cell Envelope, Capsule and Slime layer; Gram-Negative (Diderm) cell wall components; Outer membrane porins in Pseudomonas and Acinetobacter; Outer membrane low permeability porin, OprD family => OccD1/OprD basic amino acids, carbapenem uptake	3
Metabolism; Secondary Metabolism; Biosynthesis of antimicrobial or antitumor compounds; Phenazine biosynthesis; Pyridoxamine 5'-phosphate oxidase PhzG (EC 1.4.3.5)	3
Cellular Processes; Motility and Chemotaxis; Social motility and nonflagellar swimming in bacteria; Rhamnolipids in Pseudomonas; RhlA, 3-(3-hydroxyalkanoyloxy)alkanoic acids (HAAs) synthase	3
Cell Envelope; Cell Envelope, Capsule and Slime layer; Gram-Negative (Diderm) cell wall components; Outer membrane porins in Pseudomonas and Acinetobacter; Outer membrane low permeability porin, OprD family => OccD8/OpdJ coexpressed with pyoverdine biosynthesis regulon	3
Membrane Transport; Membrane Transport; Multidrug efflux systems; Multidrug resistance RND efflux system MexEFOprN; Multidrug efflux system, membrane fusion component => MexE of MexEF-OprN system	3
Cell Envelope; Cell Envelope, Capsule and Slime layer; Gram-Negative (Diderm) cell wall components; Outer membrane porins in Pseudomonas and Acinetobacter; Outer membrane low permeability porin, OprD family => OccK11/OpdR	3
Metabolism; Amino Acids and Derivatives; Branched-chain amino acids; Branched-Chain Amino Acid Biosynthesis; 3-isopropylmalate dehydratase large subunit	3
Metabolism; Cofactors, Vitamins, Prosthetic Groups; Pyridoxine; Pyridoxin (Vitamin B6) Biosynthesis; Pyridoxamine 5'-phosphate oxidase PhzG (EC 1.4.3.5)	3
Stress Response, Defense, Virulence; Stress Response, Defense and Virulence; Resistance to antibiotics and toxic compounds; Fusaric acid resistance cluster; Tetrapartite efflux system component, FusD-like => FusD of FusABCDE system	3
Membrane Transport; Membrane Transport; Multidrug efflux systems; Tripartite multidrug efflux systems (of RND type) in Pseudomonas; Transcriptional repressor of mexXY operon, MexZ	3
Metabolism; Amino Acids and Derivatives; Arginine; urea cycle, creatine, polyamines; Arginine succinyltransferase pathway; Arginine N-succinyltransferase, beta subunit (EC 2.3.1.109)	3
Metabolism; Secondary Metabolism; Biosynthesis of antimicrobial or antitumor compounds; Phenazine biosynthesis; QscR quorum-sensing control repressor	3
Stress Response, Defense, Virulence; Stress Response, Defense and Virulence; Resistance to antibiotics and toxic compounds; Fusaric acid resistance cluster; Tetrapartite efflux system, inner membrane component FusBC-like => FusBC of FusABCDE system	3
Cell Envelope; Cell Envelope, Capsule and Slime layer; Capsule and Slime layer; Extracellular matrix proteins (PSL) involved in mannose-rich biofilm formation in Pseudomonas; Pellicle/biofilm biosynthesis protein PslG, CAZy glycosyltransferase family 39	3
Metabolism; Secondary Metabolism; Biosynthesis of antimicrobial or antitumor compounds; Phenazine biosynthesis; Phenazine biosynthesis protein PhzA	3
Cellular Processes; Microbial communities; Quorum sensing and biofilm formation; Quorum sensing regulation in Pseudomonas; QscR quorum-sensing control repressor	3
Cellular Processes; Microbial communities; Quorum sensing and biofilm formation; Quorum sensing regulation in Pseudomonas; Regulatory protein RsaL	3
Stress Response, Defense, Virulence; Stress Response, Defense and Virulence; Stress Response; Glutathione: Non-redox reactions; Lactoylglutathione lyase	3
Pseudomonas sp. 8BK	3
Metabolism; Secondary Metabolism; Metabolism of Aromatic Compounds; Homoprotocatechuate degradative cluster; Transcriptional activator of 4-hydroxyphenylacetate 3-monooxygenase operon, XylS/AraC family	3
Acinetobacter dispersus	3
Metabolism; Fatty Acids, Lipids, and Isoprenoids; Fatty acids; Acyl-CoA thioesterase II; TesB-like acyl-CoA thioesterase 1	3
Metabolism; Secondary Metabolism; Metabolism of Aromatic Compounds; Vanillate and syringate utilization; Oxaloacetate decarboxylase (EC 4.1.1.3)	3
Pseudomonas sp. RW407	3
Regulation And Cell Signaling; Regulation and Cell signaling; ; Trans-envelope signaling system VreARI in Pseudomonas; Sigma factor regulator VreR (cytoplasmic membrane-localized) of trans-envelope signaling system	3
Energy; Energy and Precursor Metabolites Generation; Central Metabolism; Methylglyoxal Metabolism; Lactoylglutathione lyase	3
Pseudomonas linyingensis	3
Stress Response, Defense, Virulence; Stress Response, Defense and Virulence; Stress Response; Universal stress protein family; Universal stress protein family 7	3
Pseudomonas sp. QAU92	3
Pseudomonas tohonis	3
Metabolism; Sulfur Metabolism; ; Sulfate assimilation related cluster; Organosulfonate ABC transporter substrate-binding protein	3
Streptomyces sp. CHA16	3
Cell Envelope; Cell Envelope, Capsule and Slime layer; Gram-Negative (Diderm) cell wall components; KDO2-Lipid A biosynthesis; O-antigen chain length determinant protein WzzB	3
Membrane Transport; Membrane Transport; Protein secretion system, Type III; Type III secretion systems; Type III secretion cytoplasmic protein (YscK)	3
Pseudomonas nicosulfuronedens	3
Metabolism; Metabolite damage and its repair or mitigation; ; Nudix proteins (nucleoside triphosphate hydrolases); Nudix-like NDP and NTP phosphohydrolase NudJ	3
Pseudomonas sp. NW5	3
